date,open,close,high,low,volume,amount
2025-04-15,1933.89,1930.4,1940.75,1918.44,168422550.0,273743106715.87
2025-04-16,1918.03,1907.11,1919.09,1879.78,170499714.0,273040794540.48
2025-04-17,1893.02,1908.78,1923.53,1892.47,150012821.0,248279994249.17
2025-04-18,1904.99,1913.97,1917.59,1898.78,146860953.0,234120276866.05
2025-04-21,1910.9,1944.32,1947.56,1901.81,167432537.0,277261580693.58
2025-04-22,1933.83,1928.43,1939.69,1923.37,171458149.0,281085874239.67
2025-04-23,1950.44,1949.16,1962.68,1935.68,199995890.0,346460823674.24
2025-04-24,1946.23,1935.86,1958.22,1930.9,181545884.0,305859189146.22
2025-04-25,1941.81,1947.19,1960.63,1937.71,169975509.0,291634268768.25
2025-04-28,1951.16,1934.46,1951.16,1930.06,163721220.0,263116285053.64
2025-04-29,1929.27,1931.94,1941.17,1923.86,160186502.0,270737131156.84
2025-04-30,1936.12,1948.03,1954.62,1931.84,166717929.0,293395148611.24
2025-05-06,1966.97,1986.41,1988.05,1964.46,204808226.0,362525483367.02
2025-05-07,2024.3,1996.51,2035.47,1982.37,236777340.0,415025833449.25
2025-05-08,1994.05,2029.45,2036.1,1991.65,208336585.0,375817862445.41
2025-05-09,2028.43,2011.77,2028.43,2004.48,192198639.0,336031657418.41
2025-05-12,2042.9,2064.71,2066.31,2038.34,194979499.0,368155868587.42
2025-05-13,2091.35,2062.26,2091.35,2058.74,197820037.0,368230474666.05
2025-05-14,2062.27,2083.14,2103.37,2051.82,193513311.0,369473326977.16
2025-05-15,2076.04,2043.25,2076.04,2043.1,176851858.0,315818937738.25
2025-05-16,2035.87,2039.45,2050.89,2035.87,163436423.0,298459891782.97
2025-05-19,2038.05,2032.76,2038.05,2017.17,166217009.0,290268824267.91
2025-05-20,2041.5,2048.46,2059.52,2025.86,185563484.0,324234796147.44
2025-05-21,2052.0,2065.39,2077.48,2050.21,175956463.0,316052135906.68
2025-05-22,2065.41,2045.57,2065.41,2043.89,169780258.0,294063096646.45
2025-05-23,2043.2,2021.5,2060.09,2021.5,178391659.0,312868339271.18
2025-05-26,2016.37,2005.26,2023.49,1991.78,147787119.0,268696372150.12
2025-05-27,2001.62,1991.64,2001.62,1983.9,150972274.0,263612542368.62
2025-05-28,1996.49,1985.38,2001.95,1981.67,160736605.0,272207025903.76
2025-05-29,1988.32,2012.55,2016.21,1986.63,196153778.0,336645286376.76
2025-05-30,2002.73,1993.19,2004.5,1988.19,192070841.0,321041246329.48
2025-06-03,1986.54,2002.7,2012.24,1985.57,185115747.0,307126792870.47
2025-06-04,2009.37,2024.93,2030.92,2009.37,185041493.0,319493747439.18
2025-06-05,2026.63,2048.62,2053.56,2014.44,208483808.0,370015876182.19
2025-06-06,2047.87,2039.44,2051.91,2034.1,178108991.0,322931592458.63
2025-06-09,2046.43,2061.29,2075.58,2045.64,202827466.0,368246986273.2
2025-06-10,2057.97,2037.27,2063.87,2023.17,237687808.0,411801077262.33
2025-06-11,2044.28,2061.87,2076.91,2044.28,208455831.0,360485163147.4
2025-06-12,2057.2,2067.15,2076.84,2051.24,214021326.0,378571827628.61
2025-06-13,2054.97,2043.82,2065.87,2036.96,241780969.0,410506201042.24
2025-06-16,2038.7,2057.32,2062.42,2038.7,203702624.0,357646686528.36
2025-06-17,2061.47,2049.94,2063.08,2045.05,216853533.0,372991717138.93
2025-06-18,2046.69,2054.73,2059.38,2039.25,211304448.0,371847691875.22
2025-06-19,2049.18,2026.82,2057.77,2021.18,221788483.0,386860748295.18
2025-06-20,2026.88,2009.89,2036.02,2007.51,190308016.0,326385566258.08
2025-06-23,1996.96,2017.63,2021.76,1996.96,200250341.0,340328387698.13
2025-06-24,2024.7,2064.13,2065.84,2024.7,247840301.0,441660056238.75
2025-06-25,2073.26,2128.39,2133.03,2072.87,267537197.0,518421004525.53
2025-06-26,2128.86,2114.43,2142.21,2113.14,269411209.0,510182488176.29
2025-06-27,2125.85,2124.34,2146.04,2112.75,242281223.0,464562098189.67
2025-06-30,2132.93,2153.01,2154.0,2128.78,239110135.0,462156973601.54
2025-07-01,2149.22,2147.92,2152.92,2134.57,248855791.0,444496413718.11
2025-07-02,2140.14,2123.72,2140.14,2118.55,234471208.0,393785126919.15
2025-07-03,2130.74,2164.09,2168.61,2130.74,219509975.0,382005613121.56
2025-07-04,2168.35,2156.23,2187.88,2153.62,232373615.0,420453534088.53
2025-07-07,2148.93,2130.19,2155.69,2126.32,188950354.0,346511386676.02
2025-07-08,2129.49,2181.08,2183.06,2129.49,228401520.0,436543561640.74
2025-07-09,2179.32,2184.67,2204.64,2179.11,233738509.0,435509501264.73
2025-07-10,2192.99,2189.58,2199.71,2174.21,220663564.0,419455314284.9
2025-07-11,2190.01,2207.1,2223.31,2181.19,238746384.0,460016296735.25
2025-07-14,2207.54,2197.07,2208.08,2189.08,202311831.0,387279814379.44
2025-07-15,2211.4,2235.05,2245.44,2209.9,225037605.0,447443659666.91
2025-07-16,2241.21,2230.19,2259.64,2227.82,205254477.0,429019355399.99
2025-07-17,2228.52,2269.33,2269.67,2228.52,213664610.0,443122898155.17
2025-07-18,2279.67,2277.15,2296.91,2263.97,212360279.0,432503511577.25
2025-07-21,2285.41,2296.88,2297.14,2273.81,225424052.0,444016671263.83
2025-07-22,2295.36,2310.86,2313.46,2290.38,242464648.0,481258167153.79
2025-07-23,2308.11,2310.67,2333.31,2304.63,234159582.0,448738026106.13
2025-07-24,2319.25,2345.37,2345.37,2318.42,233231978.0,458237292636.01
2025-07-25,2348.28,2340.06,2350.06,2332.02,233830394.0,435873397480.12
2025-07-28,2346.38,2362.6,2366.51,2334.16,224563522.0,454389336180.92
2025-07-29,2362.77,2406.59,2406.59,2355.38,237563456.0,495775120142.64
2025-07-30,2395.86,2367.68,2395.89,2349.18,257326940.0,503318839029.83
2025-07-31,2382.97,2328.31,2394.22,2321.72,258986837.0,544390897602.53
2025-08-01,2323.92,2322.63,2348.02,2304.39,234090218.0,468219566668.28
2025-08-04,2307.37,2334.32,2334.43,2304.48,217291942.0,437700413808.14
2025-08-05,2349.44,2343.38,2351.0,2323.74,230759428.0,478481107469.06
2025-08-06,2335.95,2358.95,2359.82,2335.95,261527074.0,525173025664.23
2025-08-07,2359.42,2342.86,2372.68,2322.81,266846722.0,552150910519.52
2025-08-08,2338.25,2333.96,2353.99,2330.01,250831023.0,504146211527.89
2025-08-11,2336.93,2379.82,2384.86,2336.93,252350057.0,535985242900.72
2025-08-12,2381.16,2409.4,2409.4,2368.81,251971544.0,550138680013.61
2025-08-13,2417.47,2496.5,2497.86,2414.48,279783183.0,636827542511.23
2025-08-14,2496.63,2469.66,2513.37,2463.86,303365377.0,651328239583.24
2025-08-15,2464.67,2534.22,2541.89,2464.67,289189742.0,660169876297.45
2025-08-18,2549.55,2606.2,2633.86,2529.25,373626887.0,839681462556.21
2025-08-19,2596.58,2601.74,2634.6,2586.95,334428683.0,763111819998.08
2025-08-20,2572.01,2607.65,2608.0,2547.44,292612013.0,650536818161.42
2025-08-21,2614.91,2595.47,2626.37,2582.05,303848140.0,656374795501.37
2025-08-22,2587.53,2682.55,2683.9,2587.53,303427118.0,697740405121.78
2025-08-25,2720.28,2762.99,2782.01,2700.28,362601498.0,874974979130.46
2025-08-26,2747.11,2742.13,2773.24,2726.72,318782156.0,750068068086.59
2025-08-27,2747.5,2723.2,2822.27,2723.2,377278345.0,888064980127.14
2025-08-28,2707.34,2827.17,2827.17,2707.34,353545862.0,839767556036.82
2025-08-29,2828.01,2890.13,2933.99,2809.32,293731747.0,771067872982.93
2025-09-01,2914.64,2956.37,2958.14,2886.73,283862898.0,732725058247.54
2025-09-02,2951.03,2872.22,2979.73,2839.92,309356625.0,803844187501.81
2025-09-03,2882.84,2899.37,2926.78,2859.51,250916506.0,657571327457.67
2025-09-04,2933.68,2776.25,2956.41,2741.08,262998426.0,716317175905.26
2025-09-05,2789.91,2958.18,2962.47,2775.17,247717272.0,676084998434.46
2025-09-08,2964.43,2933.25,2964.43,2883.26,253293742.0,698953752937.89
2025-09-09,2901.29,2867.97,2924.58,2843.67,222348592.0,572337413830.6
2025-09-10,2890.05,2904.27,2926.16,2860.26,207777643.0,567252757981.66
2025-09-11,2917.77,3053.75,3053.75,2899.83,254479394.0,704261347899.03
2025-09-12,3024.1,3020.42,3056.53,3009.9,251507218.0,680315344406.38
2025-09-15,3052.06,3066.18,3106.88,3044.69,232238395.0,620841469358.55
2025-09-16,3072.3,3087.04,3089.78,3020.63,248549042.0,641903383619.02
2025-09-17,3085.71,3147.35,3152.31,3064.77,251111022.0,668282448229.48
2025-09-18,3119.77,3095.85,3168.68,3051.3,318944357.0,835058245063.72
2025-09-19,3098.28,3091.0,3128.38,3072.76,234774694.0,603655890657.23
2025-09-22,3093.97,3107.89,3107.89,3053.35,207186315.0,547491096346.71
2025-09-23,3139.5,3114.55,3157.02,3041.46,257912089.0,670317860096.42
2025-09-24,3089.9,3185.57,3185.84,3085.7,228593022.0,632107960241.9
2025-09-25,3167.75,3235.76,3266.0,3161.08,233199280.0,663053057215.08
2025-09-26,3222.19,3151.53,3251.88,3150.84,214826619.0,570235409398.65
2025-09-29,3165.07,3238.01,3259.42,3164.8,207295743.0,574681499671.85
2025-09-30,3239.33,3238.16,3279.02,3218.69,202434405.0,583961073771.38
2025-10-09,3251.04,3261.82,3322.44,3243.71,237037603.0,658209857589.43
2025-10-10,3230.46,3113.26,3235.86,3097.63,225512173.0,620946940942.82
2025-10-13,2975.03,3078.76,3096.4,2975.03,218736894.0,578012276527.51
2025-10-14,3121.0,2955.98,3124.83,2943.58,223204207.0,606838447255.61
2025-10-15,2964.52,3025.87,3030.59,2927.51,186015224.0,491772888013.86
2025-10-16,3008.37,3037.44,3068.84,3001.1,181947860.0,477559446988.39
2025-10-17,3026.4,2935.37,3042.29,2932.68,185613716.0,465679907805.74
2025-10-20,3007.21,2993.45,3042.2,2970.19,161809753.0,438095837370.04
2025-10-21,3017.77,3083.72,3101.93,2994.76,178104662.0,478860001586.4
2025-10-22,3061.27,3059.32,3089.76,3044.04,164946532.0,416493599511.86
2025-10-23,3050.74,3062.16,3066.46,3003.34,168698046.0,407949149462.48
2025-10-24,3087.63,3171.57,3171.57,3082.06,189617316.0,529690393787.88
2025-10-27,3227.18,3234.45,3241.95,3179.62,213860991.0,615421313963.72
2025-10-28,3205.44,3229.58,3282.33,3205.05,208601022.0,573266277604.32
2025-10-29,3263.98,3324.27,3324.27,3258.69,214062869.0,620733661712.54
2025-10-30,3313.79,3263.02,3331.86,3259.21,224015734.0,645299168649.51
2025-10-31,3260.26,3187.53,3281.66,3187.53,220275654.0,595349876746.47
2025-11-03,3179.3,3196.87,3199.4,3120.85,217595272.0,540371749209.12
2025-11-04,3190.4,3134.09,3207.1,3111.02,200445072.0,481315214315.53
2025-11-05,3068.95,3166.23,3179.93,3068.95,207545764.0,477383174814.76
2025-11-06,3185.13,3224.62,3236.68,3177.6,202215805.0,504556295929.38
2025-11-07,3201.26,3208.21,3240.35,3178.8,206879652.0,502382384266.7
2025-11-10,3221.93,3178.83,3236.61,3138.3,213869043.0,523234244404.08
2025-11-11,3197.12,3134.32,3209.89,3130.58,213092429.0,511967313133.22
2025-11-12,3122.58,3122.03,3137.58,3078.64,209841194.0,492937005521.06
2025-11-13,3119.09,3201.75,3209.7,3107.62,217420321.0,528672087446.39
2025-11-14,3145.92,3111.51,3167.11,3111.51,221877911.0,494326633709.59
2025-11-17,3097.34,3105.2,3120.73,3082.23,225562453.0,493700722242.94
2025-11-18,3089.38,3069.22,3115.31,3052.64,238199986.0,508841079055.28
2025-11-19,3065.17,3076.85,3113.22,3061.96,226250386.0,463650345532.68
2025-11-20,3131.84,3042.34,3137.07,3039.38,208791385.0,452051459701.66
2025-11-21,2979.37,2920.08,2996.79,2920.04,261516446.0,537437629813.01
2025-11-24,2946.46,2929.04,2951.43,2892.27,231619369.0,482298936805.05
2025-11-25,2970.73,2980.93,3027.83,2961.93,240244351.0,528159166186.67
2025-11-26,2976.7,3044.69,3081.49,2962.99,223349763.0,529027126676.59
2025-11-27,3041.2,3031.3,3113.44,3027.31,203878146.0,499106212871.15
2025-11-28,3029.98,3052.59,3067.76,3013.49,195152701.0,460620035911.41
2025-12-01,3060.56,3092.5,3093.96,3037.69,219343139.0,522884477827.16
2025-12-02,3091.37,3071.15,3094.18,3056.36,201291473.0,451812885257.76
2025-12-03,3078.86,3036.79,3105.3,3028.7,204220766.0,470656693967.8
2025-12-04,3037.05,3067.48,3075.46,3016.58,185603506.0,416176565445.79
2025-12-05,3084.22,3109.3,3115.81,3048.94,197406943.0,476953447375.7
2025-12-08,3119.15,3190.27,3214.48,3119.15,222726847.0,590131765522.5
2025-12-09,3183.61,3209.6,3235.54,3175.51,204692715.0,535033737881.84
2025-12-10,3201.38,3209.0,3220.24,3143.41,194187894.0,495618319314.06
2025-12-11,3210.55,3163.67,3246.32,3163.67,202315261.0,518749292672.78
2025-12-12,3172.73,3194.36,3203.25,3137.63,211247053.0,566290631352.16
2025-12-15,3157.32,3137.8,3184.62,3135.66,188057375.0,472078841488.24
2025-12-16,3130.43,3071.76,3141.58,3058.79,190119280.0,453347376923.43
2025-12-17,3072.62,3175.91,3181.69,3072.62,195283898.0,495114476159.13
2025-12-18,3138.66,3107.06,3154.07,3107.06,177286398.0,449855188773.62
2025-12-19,3134.8,3122.24,3157.29,3112.03,185864900.0,444703647638.05
2025-12-22,3153.75,3191.98,3197.94,3153.75,184291000.0,488300727161.34
2025-12-23,3196.31,3205.01,3227.07,3184.53,191738351.0,498642177778.17
2025-12-24,3207.41,3229.58,3235.0,3193.97,191381877.0,508985251463.15
2025-12-25,3232.97,3239.34,3249.11,3200.49,202063805.0,532663504951.02
2025-12-26,3232.41,3243.88,3268.69,3219.13,219182544.0,578727413974.0
2025-12-29,3237.77,3222.61,3250.09,3208.08,203806961.0,543951469849.16
2025-12-30,3208.32,3242.9,3251.13,3207.73,218126624.0,565910064797.19
2025-12-31,3247.74,3203.17,3254.89,3198.25,215247355.0,549125795880.9
2026-01-05,3229.93,3294.55,3295.29,3229.93,271932811.0,702060594681.01
2026-01-06,3279.81,3319.29,3321.44,3265.73,287215987.0,763475252470.45
2026-01-07,3331.34,3329.69,3351.22,3298.55,280159801.0,763250511330.69
2026-01-08,3308.74,3302.31,3328.96,3285.16,289751046.0,755650931993.28
2026-01-09,3279.38,3327.81,3330.01,3269.99,343906904.0,878901067435.76
2026-01-12,3323.64,3388.34,3398.05,3282.39,421073541.0,1096218819856.51
2026-01-13,3390.69,3321.89,3416.84,3307.63,433839451.0,1086922219547.79
2026-01-14,3333.17,3349.14,3403.95,3308.63,457478907.0,1165157052172.91
2026-01-15,3318.11,3367.92,3372.47,3309.06,320578479.0,849713484169.71
2026-01-16,3394.35,3361.02,3407.86,3354.65,312079464.0,846356149931.99
2026-01-19,3340.94,3337.61,3383.79,3326.13,266213496.0,715063522775.42
2026-01-20,3340.46,3277.98,3347.94,3257.44,271654065.0,709272948430.77
2026-01-21,3270.13,3295.52,3329.5,3270.13,239488784.0,656117027993.19
2026-01-22,3312.75,3328.65,3337.27,3280.32,244048571.0,686175753499.66
2026-01-23,3334.02,3349.5,3349.5,3316.65,304128627.0,822626759653.5
2026-01-26,3365.61,3319.15,3367.99,3304.36,326114075.0,845211177604.5
2026-01-27,3316.02,3342.6,3366.68,3277.26,275879502.0,750371809751.3
2026-01-28,3359.79,3323.56,3361.14,3301.05,267660982.0,749318476667.32
2026-01-29,3322.48,3304.51,3356.48,3298.59,304722689.0,795630015291.54
2026-01-30,3301.54,3346.36,3369.24,3255.65,270277334.0,730964128742.97
2026-02-02,3368.14,3264.11,3390.3,3262.12,245886883.0,681865659272.28
2026-02-03,3318.06,3324.89,3332.48,3249.06,236713739.0,681737608018.42
2026-02-04,3298.32,3311.51,3318.9,3244.71,245288715.0,680872558372.45
2026-02-05,3277.72,3260.28,3288.38,3238.78,215234082.0,558915728580.92
2026-02-06,3222.88,3236.46,3288.03,3199.14,218119516.0,566546632643.1
2026-02-09,3299.6,3332.77,3340.33,3276.57,242919658.0,644485727297.12
2026-02-10,3321.88,3320.54,3348.48,3320.54,247658452.0,597128992818.68
2026-02-11,3312.64,3284.74,3324.18,3284.24,228686816.0,565228313902.61
2026-02-12,3294.57,3328.06,3334.35,3292.68,233849768.0,618126291227.27
2026-02-13,3309.43,3275.96,3323.37,3275.29,213034284.0,546081609337.22
2026-02-24,3331.79,3308.26,3343.24,3292.5,228065490.0,597003922814.53
2026-02-25,3313.09,3354.82,3363.18,3302.76,239093899.0,626851423640.47
2026-02-26,3346.74,3344.98,3351.57,3310.55,258474728.0,697126472186.56
2026-02-27,3303.98,3310.3,3326.58,3292.89,246313069.0,667075055878.92
2026-03-02,3257.05,3294.16,3319.91,3257.05,281293741.0,743719423714.45
2026-03-03,3316.63,3209.48,3331.26,3206.62,294310265.0,755758309246.14
2026-03-04,3171.19,3164.37,3217.11,3149.41,222271723.0,544157279389.86
2026-03-05,3236.15,3216.94,3264.8,3194.96,246635592.0,612181476773.64
2026-03-06,3197.66,3229.3,3248.9,3177.87,227445978.0,543512684990.44
2026-03-09,3152.72,3208.58,3220.01,3111.88,260338053.0,653756094223.18
2026-03-10,3281.94,3306.14,3308.75,3272.99,241663469.0,648715325054.84
2026-03-11,3318.41,3349.53,3388.1,3318.41,240926113.0,663144116389.96
2026-03-12,3357.03,3317.52,3358.77,3286.77,230926354.0,599744315942.85
2026-03-13,3296.5,3310.28,3342.85,3296.11,231741928.0,579965656477.05
2026-03-16,3323.98,3357.02,3360.35,3284.05,213329075.0,559137564908.85
2026-03-17,3385.71,3280.06,3390.02,3279.87,213048318.0,563825414777.88
2026-03-18,3307.82,3346.37,3350.56,3274.26,198278536.0,542979597686.96
2026-03-19,3311.44,3309.1,3361.21,3295.45,204201198.0,545208630142.35
2026-03-20,3362.07,3352.1,3426.61,3348.7,232187615.0,663304503456.09
2026-03-23,3300.56,3235.22,3334.46,3214.82,247330704.0,617092612471.1
2026-03-24,3266.93,3251.55,3270.19,3155.27,211205980.0,518979782367.15
2026-03-25,3287.17,3316.97,3325.26,3278.73,211728529.0,558172027999.31
2026-03-26,3299.03,3272.49,3347.23,3264.0,190422318.0,492570275740.94
2026-03-27,3236.37,3295.88,3323.33,3228.41,174126366.0,463587460672.35
2026-03-30,3254.43,3273.36,3281.39,3224.6,177208440.0,457021707916.46
2026-03-31,3247.28,3184.95,3280.48,3184.95,185740896.0,477806929829.15
2026-04-01,3255.26,3247.52,3255.26,3206.8,186799094.0,513943954660.35
2026-04-02,3229.6,3172.65,3229.68,3155.13,180448858.0,457158332797.34
2026-04-03,3197.77,3149.6,3199.44,3149.15,168154167.0,437459830898.0
2026-04-07,3162.82,3160.82,3181.35,3133.78,152437337.0,397194455819.38
2026-04-08,3257.91,3347.61,3348.39,3243.78,233353707.0,659180845669.87
2026-04-09,3316.29,3323.3,3340.3,3301.65,201677615.0,574839140206.13
2026-04-10,3355.07,3448.79,3470.72,3354.77,211593352.0,651563684636.91
2026-04-13,3434.32,3476.44,3492.48,3434.32,186067773.0,568699831319.24
2026-04-14,3507.11,3558.53,3560.3,3493.37,207676373.0,660311566333.9
2026-04-15,3596.08,3514.96,3599.98,3491.45,209895094.0,650458530151.7
2026-04-16,3531.26,3626.27,3629.42,3518.36,218759990.0,666616308445.08
2026-04-17,3643.15,3678.29,3685.1,3620.33,219975627.0,688725213658.36
2026-04-20,3657.35,3677.58,3696.26,3642.81,221537543.0,702432705026.57
2026-04-21,3662.26,3688.94,3695.74,3619.48,202432589.0,637778534428.8
2026-04-22,3660.42,3752.76,3755.75,3660.09,214499352.0,695245039532.37
2026-04-23,3769.02,3720.25,3785.23,3681.57,240499020.0,745895977557.61
2026-04-24,3682.5,3667.79,3699.94,3625.0,233839006.0,733178548406.73
2026-04-27,3677.89,3648.79,3686.94,3640.11,222383339.0,677951742164.69
2026-04-28,3623.49,3596.71,3636.93,3580.39,224411102.0,668388699959.32
2026-04-29,3578.42,3687.17,3692.21,3578.42,220640423.0,682729592377.48
2026-04-30,3704.11,3677.15,3718.4,3660.22,207981816.0,641724142143.0
2026-05-06,3760.67,3778.16,3815.07,3724.53,256344199.0,842269292824.3
2026-05-07,3807.99,3833.06,3840.06,3761.23,258151806.0,843381507019.15
2026-05-08,3792.04,3796.13,3840.16,3787.17,249242927.0,787340109163.27
2026-05-11,3829.61,3928.97,3937.87,3797.5,279245670.0,931590731570.89
2026-05-12,3947.14,3934.88,3954.99,3897.82,260039131.0,845613430581.35
2026-05-13,3900.74,4038.33,4041.99,3893.8,259133454.0,866979827777.07
2026-05-14,4087.85,3951.14,4090.42,3937.6,262200776.0,893930747716.14
2026-05-15,3957.74,3929.06,4002.73,3870.37,256835649.0,882598831814.92
2026-05-18,3895.07,3914.88,3961.16,3883.4,227942306.0,762830888184.27
2026-05-19,3894.0,3908.44,3918.31,3808.47,234560065.0,768493743821.77
2026-05-20,3889.68,3921.79,3947.22,3887.15,232712977.0,761853676049.54
2026-05-21,3962.3,3829.78,4017.81,3827.52,276039794.0,902160288034.97
2026-05-22,3875.81,3938.5,3948.99,3856.21,221842489.0,791995856122.52
2026-05-25,3974.97,4021.16,4022.74,3905.69,240534780.0,884036421908.69
2026-05-26,4003.13,4043.07,4057.37,3985.51,237035136.0,842366690267.45
2026-05-27,4053.68,4045.77,4148.23,4015.65,232890885.0,839664812553.11
2026-05-28,4042.08,4125.07,4135.38,3971.72,215603170.0,773326778436.31
2026-05-29,4141.91,4037.95,4158.69,4010.12,242059262.0,855661852309.05
2026-06-01,4057.39,3950.94,4081.42,3942.68,220530339.0,734554750936.17
2026-06-02,3987.41,4055.87,4083.92,3946.11,213338428.0,719949090250.64
2026-06-03,4089.02,4122.99,4218.33,4063.2,228810025.0,809214409169.05
2026-06-04,4072.55,4088.88,4114.24,4051.15,211806748.0,703241153789.61
2026-06-05,4079.95,3957.94,4105.21,3933.07,236781687.0,821034845640.23
2026-06-08,3820.23,3811.79,3903.77,3776.93,236874191.0,727291596416.04
2026-06-09,3865.69,3961.75,3962.9,3823.76,216665775.0,724188010288.37
2026-06-10,3897.73,3854.79,3928.36,3818.31,212202859.0,653253317468.31
2026-06-11,3839.19,3811.25,3910.28,3755.61,206551133.0,654281333270.17
2026-06-12,3921.09,3830.35,3921.53,3822.42,237871527.0,811000641594.19
2026-06-15,3896.17,4033.53,4033.53,3844.08,228651234.0,796207492760.91
2026-06-16,4065.27,4102.94,4142.43,4053.88,236362092.0,836387503042.47
2026-06-17,4061.3,4167.05,4168.16,4058.61,230896554.0,830431793976.63
2026-06-18,4153.62,4252.39,4272.01,4153.62,234709813.0,866583072686.98
2026-06-22,4272.99,4359.39,4359.39,4229.31,284501047.0,1028136400632.78
2026-06-23,4343.88,4192.19,4350.06,4159.48,255471053.0,908340490242.96
2026-06-24,4181.91,4251.42,4257.25,4161.58,242949976.0,853839664922.36
2026-06-25,4278.34,4371.99,4380.41,4242.86,257839095.0,983109466881.69
2026-06-26,4319.41,4194.21,4328.7,4175.38,250844543.0,938117550248.93
2026-06-29,4200.67,4216.7,4265.46,4103.63,252199771.0,921211835851.52
2026-06-30,4217.63,4342.71,4353.11,4205.74,231700716.0,864428984357.07
2026-07-01,4336.16,4260.72,4361.83,4222.22,276652544.0,988528654272.37
2026-07-02,4135.34,4017.27,4168.87,3999.57,260641470.0,896791614694.28
2026-07-03,4010.82,4019.93,4115.63,3985.36,237720368.0,809250391431.07
2026-07-06,4050.88,3948.86,4063.63,3903.48,225436541.0,768975690038.98
2026-07-07,3931.44,3911.91,3976.11,3859.43,193363464.0,626050125963.65
2026-07-08,3932.42,3845.35,3965.39,3824.33,199192269.0,655152500107.24
2026-07-09,3892.12,4018.17,4025.32,3812.66,216994273.0,726551566974.34
2026-07-10,4041.86,3842.73,4060.53,3842.35,256705752.0,858396707318.63
2026-07-13,3809.86,3723.52,3855.75,3691.23,226532308.0,696341242509.56
2026-07-14,3729.61,3851.14,3855.03,3673.96,201664114.0,656015980316.5
2026-07-15,3879.77,3804.7,3905.31,3794.34,203044931.0,596004738208.77
2026-07-16,3710.51,3692.46,3796.35,3658.07,204590231.0,580714563458.11
2026-07-17,3642.06,3428.63,3642.06,3387.26,237152349.0,686333877873.84
2026-07-20,3504.12,3443.1,3550.59,3338.21,244123544.0,674629644954.34
2026-07-21,3469.22,3685.97,3687.15,3373.04,266040315.0,745091984904.57
2026-07-22,3644.98,3566.73,3694.9,3553.37,210638952.0,642272059328.68
